epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2473.75,1.22822,0.68052,1.26134,0.83996,0.8829,0.88968,0.6457,1.1835,0.56128,1.31085,0.005248,0.005248,0.005248
74,2506.52,1.21458,0.67652,1.26415,0.83803,0.88938,0.89442,0.64318,1.19443,0.56278,1.31068,0.005182,0.005182,0.005182
75,2539.33,1.22115,0.67945,1.26431,0.84113,0.87623,0.88861,0.6447,1.17573,0.56208,1.2996,0.005116,0.005116,0.005116
76,2572.19,1.22016,0.67578,1.25834,0.83375,0.88201,0.88811,0.64536,1.17898,0.5594,1.30384,0.00505,0.00505,0.00505
77,2606.92,1.22029,0.6577,1.25182,0.83089,0.89441,0.88964,0.64598,1.17665,0.55972,1.30294,0.004984,0.004984,0.004984
78,2642.9,1.22028,0.66602,1.25475,0.82109,0.89709,0.88754,0.64355,1.18,0.56094,1.30175,0.004918,0.004918,0.004918
79,2676.82,1.21393,0.663,1.25425,0.83265,0.88876,0.89148,0.64208,1.18742,0.5586,1.309,0.004852,0.004852,0.004852
80,2710.09,1.20942,0.65987,1.25099,0.83875,0.88248,0.88877,0.64643,1.18631,0.55961,1.3115,0.004786,0.004786,0.004786
81,2743.66,1.2009,0.65491,1.2503,0.82998,0.89452,0.88958,0.6416,1.18187,0.55583,1.30654,0.00472,0.00472,0.00472
82,2776.98,1.20105,0.65233,1.24523,0.83539,0.89136,0.88894,0.65012,1.17896,0.55733,1.29966,0.004654,0.004654,0.004654
83,2809.48,1.20198,0.65717,1.24796,0.81434,0.90047,0.88814,0.64621,1.17828,0.56272,1.30776,0.004588,0.004588,0.004588
84,2844.22,1.19895,0.65241,1.24501,0.82534,0.87268,0.88115,0.64266,1.17773,0.56406,1.30515,0.004522,0.004522,0.004522
85,2879.28,1.20185,0.64632,1.2446,0.83531,0.86867,0.88392,0.63955,1.1902,0.56323,1.31419,0.004456,0.004456,0.004456
