epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1961.47,1.25253,0.70745,1.26964,0.84182,0.88049,0.89481,0.64098,1.18086,0.57277,1.29578,0.006304,0.006304,0.006304
58,1995.67,1.25592,0.717,1.27998,0.84797,0.88166,0.89593,0.63753,1.19783,0.57236,1.3118,0.006238,0.006238,0.006238
59,2029.62,1.25408,0.71005,1.2694,0.84245,0.87569,0.8904,0.63814,1.19992,0.56748,1.30548,0.006172,0.006172,0.006172
60,2063.83,1.24979,0.70934,1.27369,0.81855,0.9022,0.88596,0.63662,1.19052,0.56825,1.30327,0.006106,0.006106,0.006106
61,2097.93,1.25209,0.70172,1.2729,0.83674,0.88455,0.89061,0.64268,1.18274,0.56113,1.29409,0.00604,0.00604,0.00604
62,2132.22,1.24919,0.69535,1.26449,0.83221,0.89359,0.89588,0.64735,1.18412,0.55623,1.30068,0.005974,0.005974,0.005974
63,2166.28,1.24477,0.70772,1.26594,0.85584,0.87645,0.892,0.64422,1.18201,0.56287,1.296,0.005908,0.005908,0.005908
64,2200.83,1.24042,0.69711,1.26445,0.85528,0.87417,0.89844,0.64789,1.19287,0.56602,1.30993,0.005842,0.005842,0.005842
65,2234.93,1.23832,0.7038,1.26604,0.83229,0.88914,0.89021,0.64444,1.18526,0.56573,1.30132,0.005776,0.005776,0.005776
66,2268.94,1.24087,0.69503,1.26383,0.82557,0.89886,0.89598,0.63931,1.19268,0.56453,1.30452,0.00571,0.00571,0.00571
67,2302.87,1.23696,0.69077,1.26112,0.82247,0.90609,0.89211,0.64489,1.1898,0.56084,1.30196,0.005644,0.005644,0.005644
68,2336.75,1.21956,0.68263,1.25072,0.8492,0.87678,0.89543,0.6453,1.1933,0.56026,1.30697,0.005578,0.005578,0.005578
69,2370.77,1.2269,0.68189,1.24979,0.83812,0.88472,0.88729,0.64654,1.18435,0.55848,1.29553,0.005512,0.005512,0.005512
70,2404.85,1.23148,0.67767,1.25738,0.84599,0.88805,0.88528,0.64043,1.17832,0.56483,1.29379,0.005446,0.005446,0.005446
71,2439.19,1.2288,0.68993,1.25626,0.83903,0.89831,0.90107,0.65193,1.18348,0.55274,1.29806,0.00538,0.00538,0.00538
72,2473.25,1.21963,0.6703,1.2458,0.84238,0.88671,0.89585,0.64857,1.16667,0.54925,1.28416,0.005314,0.005314,0.005314
73,2507.68,1.22466,0.67662,1.25222,0.83067,0.89765,0.88881,0.64583,1.18024,0.55763,1.2952,0.005248,0.005248,0.005248
74,2541.61,1.21362,0.67534,1.25507,0.84063,0.88035,0.89481,0.65305,1.1733,0.55151,1.29187,0.005182,0.005182,0.005182
75,2575.97,1.21946,0.67931,1.25505,0.83763,0.88988,0.8939,0.65249,1.1738,0.55266,1.28861,0.005116,0.005116,0.005116
76,2609.58,1.21551,0.67408,1.24968,0.8471,0.8722,0.89216,0.64889,1.16804,0.5593,1.28138,0.00505,0.00505,0.00505
77,2643.75,1.21305,0.65639,1.23891,0.84974,0.87343,0.89457,0.65096,1.17248,0.55617,1.29043,0.004984,0.004984,0.004984
78,2677.7,1.21542,0.66173,1.2451,0.83851,0.8887,0.89576,0.65361,1.17171,0.54259,1.29003,0.004918,0.004918,0.004918
